Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of phosphate metabolic process (GO:0045936)	3/22	6.834781e-05	2.608462e-02	0	0	4.490526e+01	4.306819e+02	CDKN1A;CDKN2A;INHBA
GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	7/296	1.024278e-04	2.608462e-02	0	0	7.206983e+00	6.620589e+01	RNF20;KAT2B;CDKN1A;HPGD;CDKN2A;INHBA;ZBED6
GO_Biological_Process_2021	cellular response to testosterone stimulus (GO:0071394)	2/5	1.304709e-04	2.608462e-02	0	0	1.870798e+02	1.673309e+03	ROCK2;SPP1
GO_Biological_Process_2021	regulation of cellular response to hypoxia (GO:1900037)	2/6	1.952442e-04	2.608462e-02	0	0	1.403028e+02	1.198363e+03	DDAH1;ROCK2
GO_Biological_Process_2021	response to testosterone (GO:0033574)	2/6	1.952442e-04	2.608462e-02	0	0	1.403028e+02	1.198363e+03	ROCK2;SPP1
GO_Biological_Process_2021	negative regulation of cell cycle G1/S phase transition (GO:1902807)	3/35	2.807550e-04	3.125739e-02	0	0	2.664509e+01	2.179043e+02	CDKN1A;CDKN2A;DACT1
GO_Biological_Process_2021	negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	3/37	3.315632e-04	3.164060e-02	0	0	2.507521e+01	2.008949e+02	CDKN1A;CDKN2A;DACT1
GO_Biological_Process_2021	regulation of phosphorylation (GO:0042325)	4/125	1.134501e-03	8.672829e-02	0	0	9.489041e+00	6.435052e+01	CDKN1A;CDKN2A;PHIP;INHBA
GO_Biological_Process_2021	negative regulation of cell growth (GO:0030308)	4/126	1.168495e-03	8.672829e-02	0	0	9.410786e+00	6.354199e+01	CDKN1A;CDKN2A;INHBA;OSTN
GO_Biological_Process_2021	cell cycle G1/S phase transition (GO:0044843)	3/63	1.583318e-03	1.057657e-01	0	0	1.419071e+01	9.150502e+01	CDKN1A;CDKN2A;INHBA
GO_Biological_Process_2021	positive regulation of amyloid-beta formation (GO:1902004)	2/18	1.935824e-03	1.146815e-01	0	0	3.505458e+01	2.189937e+02	LRRTM3;ROCK2
GO_Biological_Process_2021	cellular response to organic cyclic compound (GO:0071407)	4/150	2.214991e-03	1.146815e-01	0	0	7.854278e+00	4.800933e+01	GABRB2;ROCK2;SPP1;HCN1
GO_Biological_Process_2021	regulation of G1/S transition of mitotic cell cycle (GO:2000045)	3/71	2.231825e-03	1.146815e-01	0	0	1.251618e+01	7.641045e+01	CDKN1A;CDKN2A;DACT1
GO_Biological_Process_2021	positive regulation of amyloid precursor protein catabolic process (GO:1902993)	2/22	2.895273e-03	1.289362e-01	0	0	2.803803e+01	1.638732e+02	LRRTM3;ROCK2
GO_Biological_Process_2021	negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	2/22	2.895273e-03	1.289362e-01	0	0	2.803803e+01	1.638732e+02	CDKN1A;CDKN2A
GO_Biological_Process_2021	negative regulation of cell cycle (GO:0045786)	3/80	3.133977e-03	1.308436e-01	0	0	1.104824e+01	6.369809e+01	HPGD;CDKN2A;INHBA
GO_Biological_Process_2021	G1/S transition of mitotic cell cycle (GO:0000082)	3/85	3.718913e-03	1.426303e-01	0	0	1.037195e+01	5.802405e+01	CDKN1A;CDKN2A;INHBA
GO_Biological_Process_2021	negative regulation of phosphorylation (GO:0042326)	3/86	3.843332e-03	1.426303e-01	0	0	1.024647e+01	5.698489e+01	CDKN1A;CDKN2A;INHBA
GO_Biological_Process_2021	cellular senescence (GO:0090398)	2/27	4.347799e-03	1.476975e-01	0	0	2.242479e+01	1.219479e+02	CDKN1A;CDKN2A
GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	7/566	4.550430e-03	1.476975e-01	0	0	3.674744e+00	1.981618e+01	KAT2B;CDKN1A;HPGD;DDAH1;CDKN2A;INHBA;ZBED6
GO_Biological_Process_2021	negative regulation of mitotic cell cycle phase transition (GO:1901991)	3/92	4.643186e-03	1.476975e-01	0	0	9.552809e+00	5.132108e+01	CDKN1A;CDKN2A;DACT1
GO_Biological_Process_2021	negative regulation of developmental growth (GO:0048640)	2/32	6.072050e-03	1.843695e-01	0	0	1.868263e+01	9.535724e+01	CDKN1A;OSTN
GO_Biological_Process_2021	regulation of amyloid-beta formation (GO:1902003)	2/34	6.835573e-03	1.985288e-01	0	0	1.751320e+01	8.731409e+01	LRRTM3;ROCK2
GO_Biological_Process_2021	negative regulation of organelle assembly (GO:1902116)	2/35	7.232836e-03	2.001329e-01	0	0	1.698165e+01	8.370465e+01	KAT2B;FEZ2
GO_Biological_Process_2021	positive regulation of protein metabolic process (GO:0051247)	3/115	8.600859e-03	2.001329e-01	0	0	7.582270e+00	3.606047e+01	ROCK2;INHBA;DACT1
