Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861)	3/10	5.496053e-06	6.760145e-04	0	0	1.219592e+02	1.477106e+03	KAT2B;CDKN1A;CDKN2A
GO_Molecular_Function_2021	protein serine/threonine kinase inhibitor activity (GO:0030291)	3/30	1.764526e-04	1.085183e-02	0	0	3.158730e+01	2.729919e+02	KAT2B;CDKN1A;CDKN2A
GO_Molecular_Function_2021	cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	3/44	5.549004e-04	2.275092e-02	0	0	2.078676e+01	1.558326e+02	KAT2B;CDKN1A;CDKN2A
GO_Molecular_Function_2021	Lys48-specific deubiquitinase activity (GO:1990380)	2/15	1.337947e-03	3.752673e-02	0	0	4.315060e+01	2.855110e+02	USP13;MINDY2
GO_Molecular_Function_2021	voltage-gated ion channel activity (GO:0005244)	2/16	1.525477e-03	3.752673e-02	0	0	4.006640e+01	2.598486e+02	CACNA1E;HCN1
GO_Molecular_Function_2021	serine C-palmitoyltransferase activity (GO:0004758)	1/5	1.811892e-02	1.918830e-01	0	0	6.917708e+01	2.774554e+02	SPTLC3
GO_Molecular_Function_2021	lysine N-acetyltransferase activity, acting on acetyl phosphate as donor (GO:0004468)	1/5	1.811892e-02	1.918830e-01	0	0	6.917708e+01	2.774554e+02	KAT2B
GO_Molecular_Function_2021	prostaglandin E receptor activity (GO:0004957)	1/5	1.811892e-02	1.918830e-01	0	0	6.917708e+01	2.774554e+02	HPGD
GO_Molecular_Function_2021	C-palmitoyltransferase activity (GO:0016454)	1/5	1.811892e-02	1.918830e-01	0	0	6.917708e+01	2.774554e+02	SPTLC3
GO_Molecular_Function_2021	urate transmembrane transporter activity (GO:0015143)	1/5	1.811892e-02	1.918830e-01	0	0	6.917708e+01	2.774554e+02	SLC22A12
GO_Molecular_Function_2021	K48-linked polyubiquitin modification-dependent protein binding (GO:0036435)	1/6	2.170366e-02	1.918830e-01	0	0	5.533889e+01	2.119631e+02	MINDY2
GO_Molecular_Function_2021	L-serine transmembrane transporter activity (GO:0015194)	1/6	2.170366e-02	1.918830e-01	0	0	5.533889e+01	2.119631e+02	SLC38A2
GO_Molecular_Function_2021	myosin light chain binding (GO:0032027)	1/6	2.170366e-02	1.918830e-01	0	0	5.533889e+01	2.119631e+02	MYH8
GO_Molecular_Function_2021	serine transmembrane transporter activity (GO:0022889)	1/8	2.883448e-02	1.918830e-01	0	0	3.952381e+01	1.401587e+02	SLC38A2
GO_Molecular_Function_2021	L-glutamine transmembrane transporter activity (GO:0015186)	1/8	2.883448e-02	1.918830e-01	0	0	3.952381e+01	1.401587e+02	SLC38A2
GO_Molecular_Function_2021	RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	3/190	3.232004e-02	1.918830e-01	0	0	4.524064e+00	1.552689e+01	NHLH2;CDKN2A;DACT1
