Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Bladder cancer	2/41	9.828534e-03	3.384105e-01	0	0	1.436475e+01	6.640057e+01	CDKN1A;CDKN2A
KEGG_2021_Human	GnRH secretion	2/64	2.289860e-02	3.384105e-01	0	0	9.025443e+00	3.408621e+01	SPP1;HCN1
KEGG_2021_Human	Melanoma	2/72	2.849637e-02	3.384105e-01	0	0	7.990744e+00	2.843090e+01	CDKN1A;CDKN2A
KEGG_2021_Human	Non-small cell lung cancer	2/72	2.849637e-02	3.384105e-01	0	0	7.990744e+00	2.843090e+01	CDKN1A;CDKN2A
KEGG_2021_Human	p53 signaling pathway	2/73	2.923103e-02	3.384105e-01	0	0	7.877802e+00	2.782853e+01	CDKN1A;CDKN2A
KEGG_2021_Human	Glioma	2/75	3.072293e-02	3.384105e-01	0	0	7.661200e+00	2.668201e+01	CDKN1A;CDKN2A
KEGG_2021_Human	Chronic myeloid leukemia	2/76	3.148005e-02	3.384105e-01	0	0	7.557290e+00	2.613614e+01	CDKN1A;CDKN2A
KEGG_2021_Human	Pancreatic cancer	2/76	3.148005e-02	3.384105e-01	0	0	7.557290e+00	2.613614e+01	CDKN1A;CDKN2A
KEGG_2021_Human	Viral carcinogenesis	3/203	3.817040e-02	3.527056e-01	0	0	4.227214e+00	1.380479e+01	KAT2B;CDKN1A;CDKN2A
KEGG_2021_Human	GABAergic synapse	2/89	4.197012e-02	3.527056e-01	0	0	6.423830e+00	2.036866e+01	GABRB2;SLC38A2
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	3/219	4.606220e-02	3.527056e-01	0	0	3.910913e+00	1.203686e+01	KAT2B;CDKN1A;CDKN2A
KEGG_2021_Human	Human cytomegalovirus infection	3/225	4.921473e-02	3.527056e-01	0	0	3.804054e+00	1.145615e+01	CDKN1A;ROCK2;CDKN2A
KEGG_2021_Human	Serotonergic synapse	2/113	6.416798e-02	4.244959e-01	0	0	5.028803e+00	1.381036e+01	GABRB2;CYP4X1
KEGG_2021_Human	Sphingolipid signaling pathway	2/119	7.022071e-02	4.313558e-01	0	0	4.769472e+00	1.266825e+01	ROCK2;SPTLC3
KEGG_2021_Human	Cell cycle	2/124	7.540202e-02	4.323049e-01	0	0	4.572847e+00	1.182045e+01	CDKN1A;CDKN2A
KEGG_2021_Human	Oxytocin signaling pathway	2/154	1.087779e-01	5.309314e-01	0	0	3.664752e+00	8.130057e+00	CDKN1A;ROCK2
KEGG_2021_Human	Cushing syndrome	2/155	1.099498e-01	5.309314e-01	0	0	3.640615e+00	8.037498e+00	CDKN1A;CDKN2A
KEGG_2021_Human	Cellular senescence	2/156	1.111252e-01	5.309314e-01	0	0	3.616792e+00	7.946446e+00	CDKN1A;CDKN2A
KEGG_2021_Human	Hepatocellular carcinoma	2/168	1.254793e-01	5.390563e-01	0	0	3.353301e+00	6.960159e+00	CDKN1A;CDKN2A
KEGG_2021_Human	Thyroid cancer	1/37	1.266499e-01	5.390563e-01	0	0	7.673997e+00	1.585700e+01	CDKN1A
KEGG_2021_Human	Nicotine addiction	1/40	1.361963e-01	5.390563e-01	0	0	7.082621e+00	1.412032e+01	GABRB2
KEGG_2021_Human	Vasopressin-regulated water reabsorption	1/44	1.487649e-01	5.390563e-01	0	0	6.422481e+00	1.223732e+01	AQP4
KEGG_2021_Human	Type II diabetes mellitus	1/46	1.549813e-01	5.390563e-01	0	0	6.136420e+00	1.144105e+01	CACNA1E
KEGG_2021_Human	Transcriptional misregulation in cancer	2/192	1.553783e-01	5.390563e-01	0	0	2.926168e+00	5.448210e+00	CDKN1A;HPGD
KEGG_2021_Human	Sphingolipid metabolism	1/49	1.642222e-01	5.390563e-01	0	0	5.752025e+00	1.039123e+01	SPTLC3
KEGG_2021_Human	Focal adhesion	2/201	1.669235e-01	5.390563e-01	0	0	2.792554e+00	4.999286e+00	ROCK2;SPP1
