Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	carbon dioxide transport (GO:0015670)	1/5	2.248161e-03	2.695644e-02	0	0	6.245938e+02	3.808550e+03	AQP1
GO_Biological_Process_2021	cellular response to salt stress (GO:0071472)	1/5	2.248161e-03	2.695644e-02	0	0	6.245938e+02	3.808550e+03	AQP1
GO_Biological_Process_2021	response to salt stress (GO:0009651)	1/5	2.248161e-03	2.695644e-02	0	0	6.245938e+02	3.808550e+03	AQP1
GO_Biological_Process_2021	regulation of saliva secretion (GO:0046877)	1/6	2.697256e-03	2.695644e-02	0	0	4.996500e+02	2.955690e+03	AQP1
GO_Biological_Process_2021	cellular water homeostasis (GO:0009992)	1/6	2.697256e-03	2.695644e-02	0	0	4.996500e+02	2.955690e+03	AQP1
GO_Biological_Process_2021	cellular hyperosmotic response (GO:0071474)	1/6	2.697256e-03	2.695644e-02	0	0	4.996500e+02	2.955690e+03	AQP1
GO_Biological_Process_2021	attachment of GPI anchor to protein (GO:0016255)	1/6	2.697256e-03	2.695644e-02	0	0	4.996500e+02	2.955690e+03	PGAP1
GO_Biological_Process_2021	ammonium transport (GO:0015696)	1/7	3.146172e-03	2.695644e-02	0	0	4.163542e+02	2.398853e+03	AQP1
GO_Biological_Process_2021	hyperosmotic response (GO:0006972)	1/7	3.146172e-03	2.695644e-02	0	0	4.163542e+02	2.398853e+03	AQP1
GO_Biological_Process_2021	glycerol transport (GO:0015793)	1/7	3.146172e-03	2.695644e-02	0	0	4.163542e+02	2.398853e+03	AQP1
GO_Biological_Process_2021	water homeostasis (GO:0030104)	1/8	3.594909e-03	2.695644e-02	0	0	3.568571e+02	2.008476e+03	AQP1
GO_Biological_Process_2021	one-carbon compound transport (GO:0019755)	1/9	4.043466e-03	2.695644e-02	0	0	3.122344e+02	1.720615e+03	AQP1
GO_Biological_Process_2021	cellular response to nitric oxide (GO:0071732)	1/9	4.043466e-03	2.695644e-02	0	0	3.122344e+02	1.720615e+03	AQP1
GO_Biological_Process_2021	cellular response to reactive nitrogen species (GO:1902170)	1/9	4.043466e-03	2.695644e-02	0	0	3.122344e+02	1.720615e+03	AQP1
GO_Biological_Process_2021	regulation of ER to Golgi vesicle-mediated transport (GO:0060628)	1/9	4.043466e-03	2.695644e-02	0	0	3.122344e+02	1.720615e+03	PGAP1
