"","padj","log2FoldChange"
"ENSG00000211772.11",1.30802481225335e-07,-10.4135948642992
"ENSG00000236480.1",1.64438938274834e-07,2.48807516637147
"ENSG00000166091.19",3.47382077940737e-07,2.93508635915203
"ENSG00000128524.4",4.89271873724772e-07,2.98023486980813
"ENSG00000166090.8",8.68515562979666e-07,2.92587234675822
"ENSG00000167779.7",2.04504172589845e-06,4.87837818012283
"ENSG00000124762.13",2.32626220394366e-06,2.6888712061193
"ENSG00000254715.3",5.87479455491384e-06,9.03961001668884
"ENSG00000167633.18",2.66496075583627e-05,-5.92829304148134
"ENSG00000159166.13",2.67947251449815e-05,2.05274541480582
"ENSG00000148677.6",5.67025805800645e-05,2.35611214076587
"ENSG00000217414.2",0.000118001271605851,1.80782945694136
"ENSG00000242261.1",0.000303666273737633,22.9030443887397
"ENSG00000169188.4",0.000316697297558139,-8.71373149232474
"ENSG00000261130.5",0.00038467409750274,-8.56047850088976
"ENSG00000232239.2",0.000572894447915657,-8.90641615394581
"ENSG00000118194.18",0.000686164542038182,1.90675796686695
"ENSG00000211714.3",0.000686164542038182,8.03169776834187
"ENSG00000243674.1",0.000828397637318339,-2.49127673932964
"ENSG00000235205.1",0.000918717327830697,1.4401899037246
"ENSG00000126749.14",0.0009990659242995,2.10851909396748
"ENSG00000147883.10",0.00127514665275861,2.47101618603055
"ENSG00000167088.10",0.00136706981027665,4.34630812421492
"ENSG00000186868.15",0.00143194292391219,1.35855267253874
"ENSG00000258223.6",0.00143194292391219,-21.5046078044228
"ENSG00000244025.4",0.00157746677371265,2.54164655872345
"ENSG00000224033.1",0.00170418019456175,-21.2641319989102
"ENSG00000174028.6",0.00295428420125713,-7.6826562805642
"ENSG00000133020.4",0.00304763811523743,1.7643952725716
"ENSG00000133134.11",0.00315492176354978,3.38887508001007
"ENSG00000167528.12",0.00315492176354978,1.15176693159088
"ENSG00000242419.5",0.00315492176354978,1.70578196998794
"ENSG00000237550.5",0.0032184665777073,2.06972629721944
"ENSG00000225191.1",0.00337185843170975,-20.4441142389185
"ENSG00000230457.3",0.00376254213690086,1.68332913406997
"ENSG00000188729.6",0.00417614059352205,1.50721561422355
"ENSG00000225217.1",0.00630150896021196,2.14578310823192
"ENSG00000169715.14",0.00638347643812095,2.1116823089926
"ENSG00000270757.1",0.00810572725194056,-7.554210210777
"ENSG00000261315.2",0.00822439001259868,1.63135207662115
"ENSG00000276547.1",0.0103539599047905,1.73743215341839
"ENSG00000112039.3",0.0146885248953332,1.87493211103277
"ENSG00000130707.17",0.0146885248953332,1.32554554384828
